sub,repetition,direction,hue,chroma,lightness,shape,group,observation,block,trial
0,0,-5,120,15,90,circle,hard,298,2,13
0,0,30,90,15,90,circle,hard,299,2,14
0,0,0,0,15,90,triangle,hard,304,2,15
0,0,-5,90,15,90,circle,hard,307,2,16
0,0,-30,60,15,90,fleur,hard,309,2,17
0,0,-5,60,15,90,fleur,hard,312,2,18
0,0,90,120,15,90,circle,hard,319,2,19
0,0,5,60,15,90,fleur,hard,328,2,20
0,0,5,0,15,90,cross,hard,336,2,21
0,0,-30,95,15,90,fleur,hard,341,2,22
0,0,-5,120,15,90,fleur,hard,349,2,23
0,0,30,95,15,90,fleur,hard,352,2,24
0,0,-90,90,15,90,fleur,hard,354,2,25
0,0,-5,95,15,90,cross,hard,357,2,26
0,0,5,85,15,90,circle,hard,358,2,27
0,0,5,85,15,90,fleur,hard,359,2,28
0,0,30,120,15,90,cross,hard,360,2,29
0,0,-90,60,15,90,triangle,hard,363,2,30
0,0,90,180,15,90,cross,hard,365,2,31
0,0,5,95,15,90,circle,hard,368,2,32
0,0,0,60,15,90,triangle,hard,375,2,33
0,0,-30,95,15,90,triangle,hard,386,2,34
0,0,0,95,15,90,triangle,hard,393,2,35
0,0,-5,95,15,90,circle,hard,395,2,36
0,0,0,90,15,90,triangle,hard,398,2,37
0,0,0,85,15,90,fleur,hard,399,2,38
0,0,-5,180,15,90,cross,hard,400,2,39
0,0,5,120,15,90,fleur,hard,402,2,40
0,0,30,60,15,90,triangle,hard,405,2,41
0,0,5,95,15,90,triangle,hard,406,2,42
0,0,30,180,15,90,triangle,hard,408,2,43
0,0,30,0,15,90,circle,hard,411,2,44
0,0,5,85,15,90,cross,hard,414,2,45
0,0,0,85,15,90,cross,hard,417,2,46
0,0,-5,120,15,90,cross,hard,418,2,47
0,0,30,180,15,90,cross,hard,419,2,48
0,0,0,180,15,90,fleur,hard,424,3,0
0,0,-5,60,15,90,triangle,hard,426,3,1
0,0,0,180,15,90,circle,hard,430,3,2
0,0,5,90,15,90,triangle,hard,434,3,3
0,0,30,120,15,90,triangle,hard,436,3,4
0,0,0,0,15,90,circle,hard,445,3,5
0,0,90,120,15,90,fleur,hard,448,3,6
0,0,-90,0,15,90,fleur,hard,451,3,7
0,0,5,120,15,90,cross,hard,458,3,8
0,0,90,60,15,90,cross,hard,460,3,9
0,0,-30,85,15,90,cross,hard,464,3,10
0,0,-5,60,15,90,circle,hard,465,3,11
0,0,30,85,15,90,fleur,hard,466,3,12
0,0,90,0,15,90,triangle,hard,467,3,13
0,0,-90,90,15,90,cross,hard,474,3,14
0,0,-5,90,15,90,triangle,hard,475,3,15
0,0,-90,180,15,90,circle,hard,477,3,16
0,0,5,95,15,90,fleur,hard,478,3,17
0,0,30,60,15,90,circle,hard,479,3,18
0,0,0,120,15,90,circle,hard,480,3,19
0,0,-30,95,15,90,cross,hard,484,3,20
0,0,-30,60,15,90,circle,hard,492,3,21
0,0,-90,90,15,90,circle,hard,495,3,22
0,0,-90,120,15,90,circle,hard,498,3,23
0,0,5,0,15,90,fleur,hard,501,3,24
0,0,90,95,15,90,fleur,hard,503,3,25
0,0,-5,95,15,90,triangle,hard,507,3,26
0,0,-30,120,15,90,triangle,hard,508,3,27
0,0,0,0,15,90,cross,hard,509,3,28
0,0,90,90,15,90,cross,hard,514,3,29
0,0,-90,120,15,90,fleur,hard,515,3,30
0,0,5,0,15,90,circle,hard,516,3,31
0,0,-5,90,15,90,cross,hard,519,3,32
0,0,-30,90,15,90,circle,hard,520,3,33
0,0,5,180,15,90,fleur,hard,525,3,34
0,0,-30,0,15,90,fleur,hard,527,3,35
0,0,90,90,15,90,fleur,hard,537,3,36
0,0,5,60,15,90,triangle,hard,538,3,37
0,0,-30,85,15,90,triangle,hard,542,3,38
0,0,30,0,15,90,cross,hard,547,3,39
0,0,-30,180,15,90,triangle,hard,548,3,40
0,0,90,90,15,90,circle,hard,551,3,41
